Date,Exercise,Weight,Sets,Reps
25/07/2026,Incline Dumbbell Press,32.5,3,"[12, 11, 10]"
25/07/2026,Cable Fly,17.5,3,"[15, 14, 13]"
25/07/2026,Tricep Pushdown,45.0,3,"[12, 11, 10]"
27/07/2026,Back Squat,120.0,4,"[8, 8, 7, 6]"
27/07/2026,Romanian Deadlift,110.0,3,"[10, 9, 8]"
27/07/2026,Leg press extreme,240.0,3,"[15, 14, 12]"
27/07/2026,Seated Leg Curl,55.0,3,"[12, 11, 10]"
29/07/2026,Pull Up,0.0,4,"[10, 9, 8, 7]"
29/07/2026,Chest Supported Row,70.0,3,"[12, 11, 10]"
29/07/2026,Lat Pulldown,65.0,3,"[12, 10, 9]"
29/07/2026,Face Pull,25.0,3,"[15, 15, 14]"
30/07/2026,Lateral Raise,12.0,3,"[15, 13, 11]"
30/07/2026,Seated Dumbbell Shoulder Press,30.0,5,"[8, 15, 8, 6, 5]"
30/07/2026,Cable Lateral Raise,7.5,3,"[15, 14, 12]"
30/07/2026,Uni-Lateral row ,35.0,2,"[9, 7]"
12/08/2026,Push ups,10.0,3,"[12, 8, 4]"
12/06/2026,Lateral raise,0.0,3,"[10, 8, 6]"
01/08/2026,Incline cable press,82.5,1,[12]
20/08/2026,Ticep pushdown,49.0,2,"[9, 8]"
31/07/2026,Lateral raise,14.0,3,"[7, 6, 6]"
